Actor,Film,Year,Genre,Gender,Races,Debut year
Sahiddin Sabari,Jengka,2015,Horror,Male,Malay,2015
Fadlan Hazim,Jibam,2017,Drama,Male,Malay,2014
Kazar Saisi,Jibam,2017,Drama,Male,Malay,2007
Bohari Ibrahim,Jibam,2017,Drama,Male,Malay,2001
Esma Daniel,Jibam,2017,Drama,Male,Malay,1992
Kamarool Yusoff,Jibam,2017,Drama,Male,Malay,1985
Mia Ahmad,Jibam,2017,Drama,Female,Malay,2017
Mohd. Ariff Abdullah,Jibam,2017,Drama,Male,Malay,2017
Nur Farahaizah,Jibam,2017,Drama,Female,Malay,2017
Shafie Naswip,Jibam,2017,Drama,Male,Malay,2007
Abam Bocey,Jodoh Syaitan,2020,Comedy,Male,Malay,2014
Aprena Manrose,Jodoh Syaitan,2020,Comedy,Female,Malay,2018
Soffi Jikan,Jodoh Syaitan,2020,Comedy,Male,Malay,2001
Kamarool Yusoff,Jodoh Syaitan,2020,Comedy,Male,Malay,1985
Fauziah Nawi,Jodoh Syaitan,2020,Comedy,Female,Malay,1981
Jay Iswazir,Jodoh Syaitan,2020,Comedy,Male,Malay,2017
Johan As'ari,Juvana 2,2015,Action,Male,Malay,2013
Pekin Ibrahim,Juvana 2,2015,Action,Male,Malay,2004
Nad Zainal,Juvana 2,2015,Action,Female,Malay,2012
Sweet Qismina,Juvana 2,2015,Action,Female,Malay,2008
Hasnul Rahmat,Juvana 2,2015,Action,Male,Malay,1997
Adam Shahz,Juvana 2,2015,Action,Male,Malay,2013
Eyka Farhana,Juvana 2,2015,Action,Female,Malay,2015
Khairul Mohamed,Juvana 2,2015,Action,Male,Malay,2013
Zahiril Adzim,Juvana 2,2015,Action,Male,Malay,2008
Johan As'ari,Juvana 3: Perhitungan Terakhir,2016,Action,Male,Malay,2013
Nad Zainal,Juvana 3: Perhitungan Terakhir,2016,Action,Female,Malay,2012
Sweet Qismina,Juvana 3: Perhitungan Terakhir,2016,Action,Female,Malay,2008
Hasnul Rahmat,Juvana 3: Perhitungan Terakhir,2016,Action,Male,Malay,1997
Adam Shahz,Juvana 3: Perhitungan Terakhir,2016,Action,Male,Malay,2013
Eyka Farhana,Juvana 3: Perhitungan Terakhir,2016,Action,Female,Malay,2015
Zahiril Adzim,Juvana 3: Perhitungan Terakhir,2016,Action,Male,Malay,2008
Hafreez Adam,Juvana 3: Perhitungan Terakhir,2016,Action,Male,Malay,2015
Cristina Suzanne,Jwanita,2015,Horror,Female,Malay,2007
Marsha Milan Londoh,Jwanita,2015,Horror,Female,Malay,2006
Bront Palarae,Jwanita,2015,Horror,Male,Malay,2003
Maya Karin,Jwanita,2015,Horror,Female,Others,2001
Datin Umie Aida,Jwanita,2015,Horror,Female,Malay,1991
Sazzy Falak,Kamar Seksa,2017,Drama,Male,Malay,2005
Aiyuni Hashim,Kamar Seksa,2017,Drama,Female,Malay,2017
Ieda Moin,Kamar Seksa,2017,Drama,Female,Malay,2016
Noorkhiriah,Kamar Seksa,2017,Drama,Female,Malay,2003
Pekin Ibrahim,Kampung Drift,2016,Comedy,Male,Malay,2004
Pablo Amirul,Kampung Drift,2016,Comedy,Male,Malay,2013
Fatin Afeefa,Kampung Drift,2016,Comedy,Female,Malay,2006
Shafie Naswip,Kampung Drift,2016,Comedy,Male,Malay,2007
Johan As'ari,Kanang Anak Langkau: The Iban Warrior,2017,Action,Male,Malay,2013
Taufiq Hanafi,Kanang Anak Langkau: The Iban Warrior,2017,Action,Male,Malay,2016
Adam Shahz,Kanang Anak Langkau: The Iban Warrior,2017,Action,Male,Malay,2013
Adi Putra,Kanang Anak Langkau: The Iban Warrior,2017,Action,Male,Malay,2007
Jay Iswazir,Kanang Anak Langkau: The Iban Warrior,2017,Action,Male,Malay,2017
Aidil Aziz,Kanang Anak Langkau: The Iban Warrior,2017,Action,Male,Malay,2010
Langgi Kanang,Kanang Anak Langkau: The Iban Warrior,2017,Action,Male,Others,2017
Ruzana Ibrahim,Kanang Anak Langkau: The Iban Warrior,2017,Action,Female,Malay,2012
Zachery Francis,Kanang Anak Langkau: The Iban Warrior,2017,Action,Male,Others,2003
Shaharuddin Thamby,Kapsul,2015,Sci-fi,Male,Malay,1989
Fadilah Mansor,Kapsul,2015,Sci-fi,Male,Malay,2000
Zamarul Hisham,Kapsul,2015,Sci-fi,Male,Malay,2001
Faizal Hussein,Kapsul,2015,Sci-fi,Male,Malay,1972
Zaidi Omar,Kapsul,2015,Sci-fi,Male,Malay,1992
Zila Bakarin,Kapsul,2015,Sci-fi,Female,Malay,1996
Elly Mazlein,Kapsul,2015,Sci-fi,Female,Malay,2003
Haeriyanto Hassan,Kapsul,2015,Sci-fi,Male,Malay,2013
Ucop Cecupak,Kapsul,2015,Sci-fi,Male,Malay,2014
Ezzaty Abdullah,Kau Takdirku,2017,Romantic,Female,Malay,2015
Bront Palarae,Kau Takdirku,2017,Romantic,Male,Malay,2003
Remy Ishak,Kau Takdirku,2017,Romantic,Male,Malay,2007
Aisya Hasnaa,Kau Takdirku,2017,Romantic,Female,Malay,2014
Megan Tan,Kau Takdirku,2017,Romantic,Female,Chinese,2017
Izara Aishah,Kau Yang Satu,2017,Romantic,Female,Malay,2013
Wan Hanafi Su,Kau Yang Satu,2017,Romantic,Male,Malay,1999
Hisyam Hamid,Kau Yang Satu,2017,Romantic,Male,Malay,2015
Zaidi Omar,Kau Yang Satu,2017,Romantic,Male,Malay,1992
Aaron Aziz,Kau Yang Satu,2017,Romantic,Male,Malay,2008
Amyra Rosli,Kau Yang Satu,2017,Romantic,Female,Malay,2017
Soo Wincci,Kau Yang Satu,2017,Romantic,Female,Chinese,2014
Abam Bocey,Kecoh! Primadona Kena Hantu,2016,Comedy,Male,Malay,2014
Kamal Adli,Kecoh! Primadona Kena Hantu,2016,Comedy,Male,Malay,2010
Khatijah Tan,Kecoh! Primadona Kena Hantu,2016,Comedy,Female,Malay,1996
Kamarool Yusoff,Kecoh! Primadona Kena Hantu,2016,Comedy,Male,Malay,1985
Amir Raja Lawak,Kecoh! Primadona Kena Hantu,2016,Comedy,Male,Malay,2013
Epy Kodiang,Keranda Tok Wan Terbang,2015,Comedy,Male,Malay,2012
Aizat Hassan,Keranda Tok Wan Terbang,2015,Comedy,Male,Malay,2010
Shima Anuar,Keranda Tok Wan Terbang,2015,Comedy,Female,Malay,2011
Anam Azizan,Keranda Tok Wan Terbang,2015,Comedy,Male,Malay,2014
Mak Jah,Keranda Tok Wan Terbang,2015,Comedy,Female,Malay,2005
Rahim Sepahtu,Keranda Tok Wan Terbang,2015,Comedy,Male,Malay,2014
Shuk SYJ,Keranda Tok Wan Terbang,2015,Comedy,Male,Malay,2012
Yassin Yahya,Keranda Tok Wan Terbang,2015,Comedy,Male,Malay,2000
Zakaria Zahid,Keranda Tok Wan Terbang,2015,Comedy,Male,Malay,2014
Shaharuddin Thamby,Kerja Kahwin,2017,Comedy,Male,Malay,1989
Hamid Gurkha,Kerja Kahwin,2017,Comedy,Male,Malay,1978
A. R. Badul,Kerja Kahwin,2017,Comedy,Male,Malay,1978
Aziz M. Osman,Kerja Kahwin,2017,Comedy,Male,Malay,1963
Daniella Sya,Kerja Kahwin,2017,Comedy,Female,Chinese,2011
Janna Nick,Kerja Kahwin,2017,Comedy,Female,Malay,2016
Rosnani Jamil,Kerja Kahwin,2017,Comedy,Female,Malay,1952
Syanie,Kerja Kahwin,2017,Comedy,Female,Malay,2017
Normah Damanhuri,Kimchi Untuk Awak,2017,Comedy,Female,Malay,1999
Janna Nick,Kimchi Untuk Awak,2017,Comedy,Female,Malay,2016
Aiman Hakim Ridza,Kimchi Untuk Awak,2017,Comedy,Male,Malay,2017
Dira Abu Zahar,Kimchi Untuk Awak,2017,Comedy,Female,Malay,2007
Emma Maembong,Kimchi Untuk Awak,2017,Comedy,Female,Malay,2015
Natasha Elyzza,Kimchi Untuk Awak,2017,Comedy,Female,Malay,2017
Sharifah Sakinah,Kimchi Untuk Awak,2017,Comedy,Female,Malay,2013
Ungku Hariz,Kimchi Untuk Awak,2017,Comedy,Male,Malay,2015
Atiqah Suhaime,Kipidap! Selamatkan Hari Jadi,2016,Comedy,Female,Malay,2013
Aizat Hassan,Kipidap! Selamatkan Hari Jadi,2016,Comedy,Male,Malay,2010
Julia Farhana Marin,Kipidap! Selamatkan Hari Jadi,2016,Comedy,Female,Malay,2011
Kartina Aziz,Kipidap! Selamatkan Hari Jadi,2016,Comedy,Female,Malay,1992
Hafreez Adam,Kipidap! Selamatkan Hari Jadi,2016,Comedy,Male,Malay,2015
Abdul Rani Kulup Abdullah,Kipidap! Selamatkan Hari Jadi,2016,Comedy,Male,Malay,2016
Josiah Hogan,KL Special Force,2018,Action,Male,Malay,2013
Shaharuddin Thamby,KL Special Force,2018,Action,Male,Malay,1989
Syamsul Yusof,KL Special Force,2018,Action,Male,Malay,1998
Datuk Rosyam Nor ,KL Special Force,2018,Action,Male,Malay,1986
Sabrina Ali,KL Special Force,2018,Action,Female,Malay,2011
Ramona Zamzam,KL Special Force,2018,Action,Male,Malay,2006
Esma Daniel,KL Special Force,2018,Action,Male,Malay,1992
Fattah Amin,KL Special Force,2018,Action,Male,Malay,2014
Puteri Balqis,KL Special Force,2018,Action,Female,Malay,2012
Josiah Hogan,KL Vampires,2019,Action,Male,Malay,2013
Aeril Zafrel,KL Vampires,2019,Action,Male,Malay,2010
Reen Rahim,KL Vampires,2019,Action,Female,Malay,2013
Raja Ilya,KL Vampires,2019,Action,Female,Malay,2009
Saiful Apek,KL Vampires,2019,Action,Male,Malay,1998
Pablo Amirul,KL Vampires,2019,Action,Male,Malay,2013
Mustaqim Bahadon,KL Vampires,2019,Action,Male,Malay,2013
Donny Alamsyah,KL Vampires,2019,Action,Male,Others,2019
Ismi Melinda,KL Vampires,2019,Action,Female,Malay,2009
Pekin Ibrahim,KL Wangan,2017,Action,Male,Malay,2004
Kodi Rasheed,KL Wangan,2017,Action,Male,Malay,2014
Faizal Hussein,KL Wangan,2017,Action,Male,Malay,1972
Kamarool Yusoff,KL Wangan,2017,Action,Male,Malay,1985
Emily Lim,KL Wangan,2017,Action,Female,Chinese,2008
Jasmine Suraya,KL Wangan,2017,Action,Female,Chinese,2014
Kazuto Soon,KL Wangan,2017,Action,Male,Chinese,2017
Kamal Adli,Kolestrol VS Cinta,2017,Romantic,Male,Malay,2010
Ardell Aryana,Kolestrol VS Cinta,2017,Romantic,Female,Malay,2015
Siti Elizad,Kolestrol VS Cinta,2017,Romantic,Female,Malay,2004
Julia Farhana Marin,Kolestrol VS Cinta,2017,Romantic,Female,Malay,2011
Anam Azizan,Kolestrol VS Cinta,2017,Romantic,Male,Malay,2014
Vicha Saywho,Kolestrol VS Cinta,2017,Romantic,Female,Malay,2014
Dayang Areeda,Kolestrol VS Cinta,2017,Romantic,Female,Malay,2016
Farahdhiya,Kolestrol VS Cinta,2017,Romantic,Female,Malay,2007
Tiz Zaqyah,Kolestrol VS Cinta,2017,Romantic,Female,Malay,2011
Wan Raja,Kolong,2019,Horror,Male,Malay,2009
Joey Daud,Kolong,2019,Horror,Male,Malay,2011
Annie Arifin,Kolong,2019,Horror,Female,Malay,2019
Luthya Sury Widjaja,Kolong,2019,Horror,Female,Others,2015
Mamak Puteh,Kolong,2019,Horror,Male,Malay,2014
Vanessa Angel,Kolong,2019,Horror,Female,Others,2008
Aman Graseka,Kron,2019,Drama,Male,Malay,1995
Bohari Ibrahim,Kron,2019,Drama,Male,Malay,2001
Zahiril Adzim,Kron,2019,Drama,Male,Malay,2008
Mamak Puteh,Kron,2019,Drama,Male,Malay,2014
Dayana Roza,Kron,2019,Drama,Female,Malay,2013
Opie Zami,Kron,2019,Drama,Male,Malay,2001
Siti Saleha,Langit Cinta,2016,Romantic,Female,Malay,2013
Farid Kamil,Langit Cinta,2016,Romantic,Male,Malay,2003
Dato' Jalaluddin Hassan,Langit Cinta,2016,Romantic,Male,Malay,1994
Dian P. Ramlee,Langit Cinta,2016,Romantic,Female,Malay,1976
Nur Fazura,Langit Cinta,2016,Romantic,Female,Malay,2004
Zaidi Omar,Langit Cinta,2016,Romantic,Male,Malay,1992
Keith Foo,Langit Cinta,2016,Romantic,Male,Others,2009
Normah Damanhuri,Langit Cinta,2016,Romantic,Female,Malay,1999
Fauziah Ahmad Daud,Langit Cinta,2016,Romantic,Female,Malay,1973
Julia Farhana Marin,Langsuir,2018,Horror,Female,Malay,2011
Syafiq Kyle,Langsuir,2018,Horror,Male,Malay,2018
Daaim Jailani,Langsuir,2018,Horror,Male,Malay,2018
Firdaus Nadzaman,Langsuir,2018,Horror,Male,Malay,2012
Halim Radzi,Langsuir,2018,Horror,Male,Malay,2018
Hanna Delisha,Langsuir,2018,Horror,Female,Malay,2018
Naza Manas,Langsuir,2018,Horror,Male,Malay,2012
Nazri,Langsuir,2018,Horror,Male,Malay,2018
Shahkimin,Langsuir,2018,Horror,Male,Malay,2018
Pekin Ibrahim,Lebuhraya Ke Neraka,2017,Horror,Male,Malay,2004
Khir Rahman,Lebuhraya Ke Neraka,2017,Horror,Male,Malay,2004
Awie,Lebuhraya Ke Neraka,2017,Horror,Male,Malay,1993
Dazrin Kamarudin,Lebuhraya Ke Neraka,2017,Horror,Male,Malay,2011
Fatin Syahirah,Lebuhraya Ke Neraka,2017,Horror,Female,Malay,2015
Miera Leyana,Lebuhraya Ke Neraka,2017,Horror,Female,Malay,2012
Shahz Jaszle,Lebuhraya Ke Neraka,2017,Horror,Male,Malay,2012
Farid Kamil,"Love, Supermoon",2015,Comedy,Male,Malay,2003
Mustapha Kamal,"Love, Supermoon",2015,Comedy,Male,Malay,1988
Nadiya Nisaa,"Love, Supermoon",2015,Comedy,Female,Malay,2009
Anne Ngasri,"Love, Supermoon",2015,Comedy,Female,Malay,1996
Azhar Sulaiman,"Love, Supermoon",2015,Comedy,Male,Malay,1990
Rita Rudaini,"Love, Supermoon",2015,Comedy,Female,Malay,2002
Zain Hamid,"Love, Supermoon",2015,Comedy,Male,Malay,2004
Zain Saidin,"Love, Supermoon",2015,Comedy,Male,Others,2015
Along Eyzendy,Lu Mafia Gua Gangster,2016,Comedy,Male,Malay,2003
A. Galak,Lu Mafia Gua Gangster,2016,Comedy,Male,Malay,1981
Dato' Jalaluddin Hassan,Lu Mafia Gua Gangster,2016,Comedy,Male,Malay,1994
Atu Zero,Lu Mafia Gua Gangster,2016,Comedy,Male,Others,2014
Azlee Senario,Lu Mafia Gua Gangster,2016,Comedy,Male,Malay,1999
Sharif Zero,Lu Mafia Gua Gangster,2016,Comedy,Male,Malay,2016
Shira Saad,Lu Mafia Gua Gangster,2016,Comedy,Female,Malay,2016
Syaiful Zero,Lu Mafia Gua Gangster,2016,Comedy,Male,Malay,2016
Zack Taipan,Lu Mafia Gua Gangster,2016,Comedy,Male,Malay,2002
Josiah Hogan,LuQman,2017,Drama,Male,Malay,2013
Wan Hanafi Su,LuQman,2017,Drama,Male,Malay,1999
Raja Ilya,LuQman,2017,Drama,Female,Malay,2009
Nurjannah Mohd Saleh,LuQman,2017,Drama,Female,Malay,2017
Syed Mohamad Fuad Al-Atas,LuQman,2017,Drama,Male,Malay,2017
Ambiga Sreenevasan,M For Malaysia,2019,Historical,Male,Indian,2019
Chin Tong Liew,M For Malaysia,2019,Historical,Male,Chinese,2019
Clare Rewcastle Brown,M For Malaysia,2019,Historical,Female,Others,2019
Ineza Rousille,M For Malaysia,2019,Historical,Female,Malay,2019
Mahathir Mohamad,M For Malaysia,2019,Historical,Male,Malay,2019
Maria Chin Abdullah,M For Malaysia,2019,Historical,Female,Chinese,2019
Siti Hasmah Mohd Ali,M For Malaysia,2019,Historical,Female,Malay,2019
Tony Pua,M For Malaysia,2019,Historical,Male,Chinese,2019
Wan Azizah Wan Ismail,M For Malaysia,2019,Historical,Female,Malay,2019
Kodi Rasheed,M4M4,2020,Horror,Male,Malay,2014
Faizal Hussein,M4M4,2020,Horror,Male,Malay,1972
Nabila Huda,M4M4,2020,Horror,Female,Malay,2001
Niezam Zaidi,M4M4,2020,Horror,Male,Malay,2012
Ungku Hariz,M4M4,2020,Horror,Male,Malay,2015
Izzy Reef,M4M4,2020,Horror,Male,Malay,2016
Bella Dowanna,M4M4,2020,Horror,Female,Malay,2020
Eyra Hazali,M4M4,2020,Horror,Female,Malay,2020
Yusry Abd Halim,M4M4,2020,Horror,Male,Malay,1995
Syamsul Yusof,Makrifat Cinta,2018,Drama,Male,Malay,1998
Nora Danish,Makrifat Cinta,2018,Drama,Female,Malay,2005
Sabrina Ali,Makrifat Cinta,2018,Drama,Female,Malay,2011
Nabila Huda,Makrifat Cinta,2018,Drama,Female,Malay,2001
Adi Putra,Makrifat Cinta,2018,Drama,Male,Malay,2007
Puteri Balqis,Makrifat Cinta,2018,Drama,Female,Malay,2012
Aznil Nawawi,Makrifat Cinta,2018,Drama,Male,Malay,1995
Along Eyzendy,Mat Moto,2015,Comedy,Male,Malay,2003
Datuk Rosyam Nor ,Mat Moto,2015,Comedy,Male,Malay,1986
Shenty Feliziana,Mat Moto,2015,Comedy,Female,Malay,2012
Pablo Amirul,Mat Moto,2015,Comedy,Male,Malay,2013
Niezam Zaidi,Mat Moto,2015,Comedy,Male,Malay,2012
Lyana Yahya,Mat Moto,2015,Comedy,Female,Malay,2015
Dato' Sri Eizlan Yusof,Mat Moto Otai,2016,Comedy,Male,Malay,1994
Cat Farish,Mat Moto Otai,2016,Comedy,Male,Malay,2005
Opie Zami,Mat Moto Otai,2016,Comedy,Male,Malay,2001
Ahmad Idham,Mat Moto Otai,2016,Comedy,Male,Malay,1995
Pekin Ibrahim,Mat Moto: Kami Mat Moto Bukan Mat Rempit,2016,Action,Male,Malay,2004
Syamsul Yusof,Mat Moto: Kami Mat Moto Bukan Mat Rempit,2016,Action,Male,Malay,1998
Datuk Rosyam Nor ,Mat Moto: Kami Mat Moto Bukan Mat Rempit,2016,Action,Male,Malay,1986
Cat Farish,Mat Moto: Kami Mat Moto Bukan Mat Rempit,2016,Action,Male,Malay,2005
Faizal Hussein,Mat Moto: Kami Mat Moto Bukan Mat Rempit,2016,Action,Male,Malay,1972
Shaheizy Sam,Mat Moto: Kami Mat Moto Bukan Mat Rempit,2016,Action,Male,Malay,1995
Kamarool Yusoff,Mat Moto: Kami Mat Moto Bukan Mat Rempit,2016,Action,Male,Malay,1985
Falisha Crossley ,Mat Moto: Kami Mat Moto Bukan Mat Rempit,2016,Action,Female,Malay,2016
Zul Huzaimy ,Mat Moto: Kami Mat Moto Bukan Mat Rempit,2016,Action,Male,Malay,2002
Reen Rahim,Mawar Putih ,2016,Romantic,Female,Malay,2013
Adli Eddynor,Mawar Putih ,2016,Romantic,Male,Malay,2016
Arja Lee,Mawar Putih ,2016,Romantic,Male,Malay,2011
Cinta Dewi,Mawar Putih ,2016,Romantic,Female,Others,2010
Triestan Aprilian,Mawar Putih ,2016,Romantic,Male,Others,2016
Juliana Evans,Mendidih Bro,2017,Romantic,Female,Malay,2008
Adrea Abdullah,Mendidih Bro,2017,Romantic,Female,Malay,2004
Amy Mastura,Mendidih Bro,2017,Romantic,Female,Malay,1996
Azrel Ismail,Mendidih Bro,2017,Romantic,Male,Malay,2012
Marlyn Guinto,Mendidih Bro,2017,Romantic,Female,Chinese,2017
Yank Kassim,Mendidih Bro,2017,Romantic,Male,Malay,1996
Z. Lokman,Mendidih Bro,2017,Romantic,Male,Malay,1982
Cat Farish,Minah Moto,2017,Comedy,Male,Malay,2005
Dayana Roza,Minah Moto,2017,Comedy,Female,Malay,2013
Aliff Yasraf,Minah Moto,2017,Comedy,Male,Malay,2017
Ariz Lufias,Minah Moto,2017,Comedy,Male,Malay,2016
Julia Hana,Minah Moto,2017,Comedy,Female,Malay,2003
Ezzaty Abdullah,Mirip,2015,Thriller,Female,Malay,2015
Reen Rahim,Mirip,2015,Thriller,Female,Malay,2013
Fezrul Khan,Mirip,2015,Thriller,Male,Malay,2004
Intan Ladyana,Misi Rayyan & Danish: Jangan Ambil Rumah Kami,2015,Comedy,Female,Malay,2006
Azwan Kombos,Misi Rayyan & Danish: Jangan Ambil Rumah Kami,2015,Comedy,Male,Malay,2010
Hanif Safuan,Misi Rayyan & Danish: Jangan Ambil Rumah Kami,2015,Comedy,Male,Malay,2015
Sharisa Haris,Misi Rayyan & Danish: Jangan Ambil Rumah Kami,2015,Comedy,Female,Malay,2014
Firdaus Ghufran,Misi Rayyan & Danish: Jangan Ambil Rumah Kami,2015,Comedy,Male,Malay,2014
Muntaza Ghani,Misi Rayyan & Danish: Jangan Ambil Rumah Kami,2015,Comedy,Male,Malay,2015
Namron,Misteri Dilaila,2019,Thriller,Male,Malay,2000
Mas Khan,Misteri Dilaila,2019,Thriller,Male,Others,2015
Datuk Rosyam Nor ,Misteri Dilaila,2019,Thriller,Male,Malay,1986
Zul Ariffin,Misteri Dilaila,2019,Thriller,Male,Malay,2010
Elizabeth Tan,Misteri Dilaila,2019,Thriller,Female,Chinese,2015
Kenji Sawahi,Misteri Dilaila,2019,Thriller,Male,Chinese,1995
Iz Sulaini,Misteri Dilaila,2019,Thriller,Female,Malay,2011
Nafiez Zaidi,Misteri Dilaila,2019,Thriller,Male,Malay,2019
Sasqia Dahuri,Misteri Dilaila,2019,Thriller,Female,Malay,2011
Datuk Rosyam Nor ,Motif,2019,Crime,Male,Malay,1986
Nadia Aqilah,Motif,2019,Crime,Female,Malay,2012
Sharifah Amani,Motif,2019,Crime,Female,Malay,2005
Azhan Rani,Motif,2019,Crime,Male,Malay,2011
Emma Tosh,Motif,2019,Crime,Female,Chinese,2019
Iedil Dzuhrie Alaudin,Motif,2019,Crime,Male,Malay,1998
Khalid Salleh,Motif,2019,Crime,Male,Malay,1992
Sherie Merlis,Motif,2019,Crime,Female,Malay,1989
Taqim Zaki,Motif,2019,Crime,Male,Malay,2011
Azhari Zain,Muluk dan Konco,2016,Comedy,Male,Malay,2009
Jalil Hamid,Muluk dan Konco,2016,Comedy,Male,Malay,1990
Saiful Apek,Muluk dan Konco,2016,Comedy,Male,Malay,1998
Yassin Yahya,Muluk dan Konco,2016,Comedy,Male,Malay,2000
Sarah Hildebrand,Muluk dan Konco,2016,Comedy,Female,Others,2015
A. Galak,Munafik,2016,Horror,Male,Malay,1981
Syamsul Yusof,Munafik,2016,Horror,Male,Malay,1998
Fizz Fairuz,Munafik,2016,Horror,Male,Malay,2006
Sabrina Ali,Munafik,2016,Horror,Female,Malay,2011
Nabila Huda,Munafik,2016,Horror,Female,Malay,2001
Zarina Zainoordin,Munafik,2016,Horror,Female,Malay,2005
Dato' Rahim Razali,Munafik,2016,Horror,Male,Malay,1978
Razif Salimin,Munafik,2016,Horror,Male,Malay,2006
Ruzzlan Abdullah,Munafik,2016,Horror,Male,Malay,2012
Syamsul Yusof,Munafik 2,2018,Horror,Male,Malay,1998
Fauzi Nawawi,Munafik 2,2018,Horror,Male,Malay,2007
Maya Karin,Munafik 2,2018,Horror,Female,Others,2001
Fizz Fairuz,Munafik 2,2018,Horror,Male,Malay,2006
Dato' Rahim Razali,Munafik 2,2018,Horror,Male,Malay,1978
Ku Faridah,Munafik 2,2018,Horror,Female,Malay,1999
Nasir Bilal Khan,Munafik 2,2018,Horror,Male,Malay,1994
Nur Zara Sofia,Munafik 2,2018,Horror,Female,Malay,2018
Mawi,Munafik 2,2018,Horror,Male,Malay,2009
Maya Karin,Nota,2015,Thriller,Female,Others,2001
Ramli Hassan,Nota,2015,Thriller,Male,Malay,1999
Hans Isaac,Nota,2015,Thriller,Male,Malay,1995
Rin Izzumi,Nota,2015,Thriller,Female,Others,2015
Mohd Juhan,Oh! La La,2015,Animation,Male,Malay,2015
Nur Nazliah,Oh! La La,2015,Animation,Female,Malay,2015
Syed Atiq,Oh! La La,2015,Animation,Male,Malay,2015
Amerul Affendi,One Two Jaga,2018,Crime,Male,Malay,2009
Kin Wah Chew,One Two Jaga,2018,Crime,Male,Chinese,2001
Zahiril Adzim,One Two Jaga,2018,Crime,Male,Malay,2008
Ario Bayu,One Two Jaga,2018,Crime,Male,Others,2004
Asmara Abigail,One Two Jaga,2018,Crime,Female,Others,2016
Rosdeen Suboh,One Two Jaga,2018,Crime,Male,Malay,2018
Datuk Yusof Haslam,Operasi X,2018,Crime,Male,Malay,1972
Awie,Operasi X,2018,Crime,Male,Malay,1993
Hanna Aqeela,Operasi X,2018,Crime,Female,Malay,2017
Zaidi Omar,Operasi X,2018,Crime,Male,Malay,1992
Aaron Aziz,Operasi X,2018,Crime,Male,Malay,2008
Nasir Bilal Khan,Operasi X,2018,Crime,Male,Malay,1994
Hairul Azreen,Operasi X,2018,Crime,Male,Malay,2011
Hefny Sahad,Operasi X,2018,Crime,Male,Malay,2018
Rafizah Shima,Operasi X,2018,Crime,Female,Malay,2018
Marsha Milan Londoh,Pak Pong,2017,Drama,Female,Malay,2006
Siti Saleha,Pak Pong,2017,Drama,Female,Malay,2013
Kazar Saisi,Pak Pong,2017,Drama,Male,Malay,2007
Fauzi Nawawi,Pak Pong,2017,Drama,Male,Malay,2007
Dato' Sri Eizlan Yusof,Pak Pong,2017,Drama,Male,Malay,1994
Saiful Apek,Pak Pong,2017,Drama,Male,Malay,1998
Rahim Sepahtu,Pak Pong,2017,Drama,Male,Malay,2014
Hairul Azreen,Pak Pong,2017,Drama,Male,Malay,2011
Amber Chia,Pak Pong,2017,Drama,Female,Chinese,2005
Taufiq Hanafi,Paskal,2018,Action,Male,Malay,2016
Amerul Affendi,Paskal,2018,Action,Male,Malay,2009
Jasmine Suraya,Paskal,2018,Action,Female,Chinese,2014
Hairul Azreen,Paskal,2018,Action,Male,Malay,2011
Ammar Alfian,Paskal,2018,Action,Male,Malay,2013
Gambit Saifullah,Paskal,2018,Action,Male,Malay,2006
Hafizul Kamal,Paskal,2018,Action,Male,Malay,2018
Henley Hii,Paskal,2018,Action,Male,Chinese,2011
Steve Yap,Paskal,2018,Action,Male,Chinese,2006
Amerul Affendi,Pekak,2016,Drama,Male,Malay,2009
Iedil Putra,Pekak,2016,Drama,Male,Malay,1998
Sharifah Amani,Pekak,2016,Drama,Female,Malay,2005
Zahiril Adzim,Pekak,2016,Drama,Male,Malay,2008
Sharifah Sakinah,Pekak,2016,Drama,Female,Malay,2013
Joe Flizzow,Pekak,2016,Drama,Male,Malay,2016
Hafiz Bahari,Pelepas Saka,2016,Horror,Male,Malay,2012
Fauzi Nawawi,Pelepas Saka,2016,Horror,Male,Malay,2007
Hanif Safuan,Pelepas Saka,2016,Horror,Male,Malay,2015
Aman Graseka,Pelepas Saka,2016,Horror,Male,Malay,1995
Esma Daniel,Pelepas Saka,2016,Horror,Male,Malay,1992
Lydia Izzati,Pelepas Saka,2016,Horror,Female,Malay,2016
Wan Nor Azlin,Pelepas Saka,2016,Horror,Female,Malay,1993
Charl Mayour,Perangsang Rentap,2017,Drama,Female,Others,2017
Diana Johor,Perangsang Rentap,2017,Drama,Female,Malay,2005
Emmanuel Reuben,Perangsang Rentap,2017,Drama,Female,Others,2017
Ethel Lampai,Perangsang Rentap,2017,Drama,Male,Others,2017
Izan Dasri,Perangsang Rentap,2017,Drama,Female,Others,2017
Richard Martias,Perangsang Rentap,2017,Drama,Male,Others,2017
Vincent Mallang,Perangsang Rentap,2017,Drama,Male,Others,2017
Mak Jah,Perjanjian Syaitan,2016,Horror,Female,Malay,2005
Dato Ahmad Tarmimi Siregar,Perjanjian Syaitan,2016,Horror,Male,Malay,1975
Imuda,Perjanjian Syaitan,2016,Horror,Male,Malay,2016
Dato' Sri Eizlan Yusof,Pilot Café,2015,Romantic,Male,Malay,1994
Izara Aishah,Pilot Café,2015,Romantic,Female,Malay,2013
Remy Ishak,Pilot Café,2015,Romantic,Male,Malay,2007
